area,type,BHK,sqft,price,unit
Bodakdev,Apartment,4,4513,3.5,Cr
Prahlad Nagar,Apartment,4,2750,1.51,Cr
Sanathal,Independent House,4,6993,5.7,Cr
Bodakdev,Apartment,4,4060,3.75,Cr
Ambli,Apartment,4,3850,3.6,Cr
Ambli,Apartment,4,5881,5.29,Cr
Vastrapur,Apartment,4,2727,1.63,Cr
Prahlad Nagar,Apartment,4,3150,2.35,Cr
Bodakdev,Apartment,5,7600,9.12,Cr
Vastrapur,Apartment,3,1665,1.04,Cr
Science City,Independent House,4,3600,5,Cr
Shilaj,Apartment,4,2845,1.65,Cr
Bodakdev,Apartment,3,2115,1.55,Cr
Gurukul,Apartment,4,4305,4.5,Cr
Jodhpur Village,Apartment,3,2115,1.45,Cr
Navrangpura,Apartment,3,2115,1.55,Cr
Ambavadi,Apartment,4,3265,2.22,Cr
Ambavadi,Apartment,4,3150,2.14,Cr
Naranpuraa,Independent House,4,5850,8.25,Cr
Sanathal,Independent House,5,4815,6.5,Cr
Sanathal,Independent House,5,4815,6.5,Cr
Ambli,Apartment,4,2992,1.8,Cr
Vastrapur,Apartment,3,1800,1.33,Cr
Bopal,Apartment,4,3125,1.31,Cr
Bopal,Apartment,4,3075,1.3,Cr
Bodakdev,Apartment,3,2646,1.98,Cr
Jodhpur,Apartment,3,1730,1.15,Cr
Ambli,Apartment,4,2760,1.85,Cr
Bodakdev,Apartment,4,5175,3.9,Cr
Paldi,Apartment,4,3375,1.8,Cr
Ambli,Apartment,4,3850,3.27,Cr
Ellisbridge,Apartment,3,2250,1.24,Cr
Ellisbridge,Apartment,4,3303,1.82,Cr
Thaltej,Independent House,3,2205,4.51,Cr
Bodakdev,Apartment,2,1080,57,L
Makarba,Apartment,2,1400,85,L
Vastrapur,Apartment,2,990,61,L
Sanand,Independent House,4,4383,5.75,Cr
Prahlad Nagar,Apartment,4,3150,2.51,Cr
Gulbai Tekra,Apartment,5,6500,4.29,Cr
Bodakdev,Apartment,4,4760,3.57,Cr
Thaltej,Independent House,4,3510,2.75,Cr
Sola,Independent House,4,4500,6.75,Cr
Ambli,Apartment,4,4422,2.96,Cr
Naranpuraa,Apartment,3,1800,1.3,Cr
Thaltej,Independent House,4,2790,3,Cr
Ellisbridge,Apartment,4,4275,3,Cr
Shilaj,Apartment,3,2204,1.25,Cr
Shilaj,Independent House,4,4050,7,Cr
Bodakdev,Apartment,4,3967,3.17,Cr
Shilaj,Independent House,5,4500,6,Cr
Memnagar,Apartment,3,2395,2.4,Cr
Bodakdev,Apartment,4,4400,3.17,Cr
Bodakdev,Apartment,4,4181,3.39,Cr
Thaltej,Apartment,3,1700,1.4,Cr
Bodakdev,Apartment,4,3289,2.3,Cr
Shela,Apartment,4,3151,1.5,Cr
Shilaj,Apartment,3,1790,89,L
Thaltej,Independent House,3,2385,2.5,Cr
Shilaj,Independent House,4,3600,7,Cr
Dani Limda,Apartment,3,1960,1.03,Cr
Bodakdev,Apartment,5,6728,7.06,Cr
Bodakdev,Apartment,4,2800,1.56,Cr
Thaltej,Independent House,4,3708,6,Cr
Ambli,Apartment,4,4384,3.94,Cr
Bodakdev,Apartment,4,4200,3.6,Cr
Satellite,Apartment,3,2025,1.4,Cr
Prahlad Nagar,Apartment,3,2610,1.45,Cr
Bodakdev,Apartment,2,990,65,L
Jodhpur Village,Apartment,3,1485,1.17,Cr
Jodhpur,Apartment,2,900,49.5,L
Jodhpur,Apartment,2,1125,60,L
Thaltej,Independent House,3,2295,3.6,Cr
Sola Village,Apartment,3,1845,1.1,Cr
Vastrapur,Apartment,3,1665,1.2,Cr
Ambavadi,Apartment,3,2097,1.25,Cr
Bopal,Independent House,4,2160,1.41,Cr
Gota,Apartment,2,1210,52.5,L
Ambavadi,Apartment,3,1800,1,Cr
Sanathal,Independent House,4,3960,1.75,Cr
Thaltej,Independent House,4,2088,3.8,Cr
Bopal,Apartment,3,1750,1.1,Cr
Ambavadi,Apartment,3,1710,1,Cr
Chharodi Ahmedabad West,Villa,1,1500,1.81,Cr
Bopal,Villa,3,3500,1.3,Cr
Gota,Apartment,2,1260,40,L
Gota,Apartment,2,1359,64.5,L
Ambli,Apartment,4,5345,3.95,Cr
Thaltej,Villa,5,4000,5,Cr
Bodakdev,Villa,5,8000,18,Cr
Prahlad Nagar,Apartment,6,5800,8,Cr
Thaltej,Apartment,6,5200,6,Cr
Shela,Apartment,3,1725,81,L
Ambli,Apartment,4,5800,5,Cr
Bodakdev,Independent Floor,5,6728,7.24,Cr
Bodakdev,Apartment,4,4422,3.5,Cr
Ambli,Apartment,4,4400,3,Cr
Ambli,Apartment,4,4400,3,Cr
Ambli,Apartment,4,5800,6,Cr
Jodhpur,Apartment,3,1608,1.1,Cr
Bodakdev,Independent House,3,2025,2.5,Cr
Naryanpura,Apartment,3,1575,78.5,L
Naryanpura,Apartment,3,1683,84.5,L
Naryanpura,Apartment,3,1584,79.5,L
Naryanpura,Apartment,2,1350,68.5,L
Makarba,Apartment,3,1557,90,L
Bopal,Apartment,2,1240,52,L
Naranpuraa,Apartment,3,1737,86.5,L
Bodakdev,Apartment,3,1035,85,L
Bopal,Independent House,3,4050,4.49,Cr
Bodakdev,Apartment,2,1035,49.5,L
Ghuma,Apartment,3,1440,70,L
Science City,Apartment,3,1775,1.15,Cr
Jodhpur,Apartment,2,1089,72,L
Thaltej,Apartment,3,1800,1.4,Cr
Ambavadi,Apartment,3,2358,1.45,Cr
Ambavadi,Apartment,3,2700,1.6,Cr
Bopal,Apartment,3,1737,65,L
Bodakdev,Apartment,3,1809,1.5,Cr
Sanathal,Villa,4,3150,1.7,Cr
Sanathal,Villa,4,3150,1.45,Cr
Shela,Apartment,3,1500,44.5,L
Near Nirma University On SG Highway,Studio Apartment,1,450,20,L
Bopal,Apartment,2,1195,38.24,L
Bopal,Apartment,3,1562,44.51,L
Bopal,Apartment,3,1700,48.45,L
Shela,Apartment,3,1500,44.85,L
Shela,Apartment,3,1475,45.72,L
Shela,Apartment,3,1876,87,L
Sanathal,Villa,3,2250,1.17,Cr
Sanathal,Villa,3,2250,1.12,Cr
Shela,Apartment,2,1085,31.5,L
Shela,Apartment,3,1700,44.2,L
Shela,Apartment,3,1510,40.77,L
Shela,Apartment,2,1050,27.3,L
Shela,Apartment,2,1085,28.51,L
Naranpuraa,Independent House,5,1575,1.9,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,2510,1.26,Cr
Gota,Apartment,3,1710,68,L
Gota,Apartment,3,1550,77,L
Gota,Apartment,3,1440,70,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,1355,59,L
Thaltej,Apartment,3,2205,1.25,Cr
Thaltej,Apartment,3,1854,1.62,Cr
Thaltej,Apartment,3,2140,1.41,Cr
Ambavadi,Apartment,4,2750,1.93,Cr
Gurukul,Apartment,3,1260,80,L
Ambavadi,Apartment,3,1940,80,L
Gurukul,Apartment,3,1530,82,L
Bopal,Independent House,3,1500,95,L
Paldi,Apartment,3,1260,1.21,Cr
Satellite,Independent House,3,2403,3.3,Cr
Thaltej,Independent House,3,2250,4.25,Cr
Bodakdev,Apartment,3,1665,1,Cr
Shela,Apartment,3,1550,42,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1895,92,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,1355,60,L
Ellisbridge,Apartment,4,4260,3.3,Cr
Bopal,Apartment,4,2460,1.15,Cr
Science City,Apartment,3,2142,1.35,Cr
Jodhpur,Apartment,3,1960,1,Cr
Koteshwar,Apartment,3,1783,99.5,L
Bodakdev,Apartment,4,3311,2.04,Cr
Jodhpur Village,Apartment,3,2430,1.13,Cr
Satellite,Apartment,2,2086,1.2,Cr
Jodhpur Village,Apartment,4,4000,3.8,Cr
Bodakdev,Apartment,4,3240,2.31,Cr
Thaltej,Apartment,3,2250,1,Cr
Jodhpur Village,Apartment,3,2070,1.35,Cr
Prahlad Nagar,Apartment,3,1989,1.21,Cr
Ambavadi,Apartment,3,2268,1.48,Cr
Thaltej,Apartment,3,2550,1.7,Cr
Thaltej,Apartment,3,1950,1.2,Cr
Thaltej,Apartment,3,2350,1.7,Cr
Thaltej,Apartment,3,1800,1.35,Cr
Chandkheda,Apartment,3,1560,1.15,Cr
Thaltej,Apartment,3,2150,1.1,Cr
Bodakdev,Apartment,3,1809,1.42,Cr
Bodakdev,Apartment,3,2007,1.25,Cr
Thaltej,Apartment,3,2118,1.55,Cr
Thaltej,Apartment,3,2118,1.6,Cr
Khodiyar,Apartment,3,1900,70,L
Sola Village,Apartment,4,5500,3.15,Cr
Bodakdev,Apartment,3,1850,1.2,Cr
Satellite,Apartment,3,2150,1.65,Cr
Bodakdev,Apartment,3,2000,90,L
Jodhpur,Apartment,3,1900,1.09,Cr
Sola,Apartment,3,2070,1.15,Cr
Sola,Apartment,3,2150,1.15,Cr
Bodakdev,Apartment,3,2250,1.7,Cr
Thaltej,Apartment,3,2150,1.2,Cr
Satellite,Apartment,3,1800,1.1,Cr
Bopal,Apartment,2,1230,67,L
Satellite,Independent House,4,3240,4,Cr
Shilaj,Apartment,3,955,75,L
Shahibuag,Apartment,4,4135,2.66,Cr
Bhat,Apartment,3,2000,91,L
Chandkheda,Independent House,4,1890,1.89,Cr
Chandkheda,Apartment,3,1900,61.19,L
Science City,Apartment,4,3024,2.1,Cr
Science City,Apartment,4,3024,2.16,Cr
Science City,Apartment,4,3825,2.64,Cr
Koteshwar,Apartment,3,2925,1.23,Cr
Chandkheda,Independent House,4,2250,1.85,Cr
Shela,Apartment,3,1510,46.81,L
Gota,Apartment,3,2000,76.99,L
Near Nirma University On SG Highway,Apartment,3,1595,56,L
Bopal,Apartment,3,1413,55,L
Koteshwar,Apartment,3,2295,86.7,L
Sola Village,Apartment,3,1890,99,L
Shilaj,Apartment,3,1745,69,L
Near Vaishno Devi Circle On SG Highway,Villa,5,6500,4.49,Cr
Shilaj,Apartment,4,2810,1.69,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3340,1.2,Cr
Thaltej,Independent House,3,2000,1.8,Cr
Bopal,Apartment,2,1260,64,L
Makarba,Apartment,2,1050,57,L
Naranpuraa,Apartment,3,1575,85,L
Ghuma,Apartment,2,1053,32,L
Bopal,Apartment,2,1405,65,L
Bopal,Apartment,2,1260,54,L
Bopal,Apartment,2,1215,62,L
Shela,Villa,3,3150,7,Cr
Bopal,Independent House,3,2430,2.25,Cr
Bopal,Apartment,2,1350,55,L
Bopal,Apartment,3,1470,72,L
Sanathal,Apartment,2,1047,34.25,L
Sanathal,Apartment,3,1469,46.9,L
Sanathal,Apartment,3,1449,45.35,L
Sanathal,Apartment,2,1070,35.7,L
Science City,Apartment,3,2070,1.12,Cr
Jodhpur,Apartment,3,1935,1.25,Cr
Memnagar,Villa,5,3285,7,Cr
Sola Village,Apartment,2,1215,72,L
Bopal,Apartment,3,1530,75,L
Gota,Apartment,2,1395,92,L
Thaltej,Apartment,4,2890,2.2,Cr
Satellite,Apartment,3,1440,75,L
Bopal,Apartment,3,1600,90,L
Bopal,Apartment,2,1113,65,L
Thaltej,Apartment,2,2061,55,L
Bopal,Apartment,3,2115,70,L
Thaltej,Independent House,4,2700,2.55,Cr
Science City,Villa,3,2250,5.5,Cr
Thaltej,Apartment,3,1800,1.35,Cr
Thaltej,Apartment,3,2000,1.45,Cr
Thaltej,Apartment,3,1980,2.65,Cr
Ambli,Apartment,3,3048,2.49,Cr
Bopal,Apartment,2,1323,58,L
Vastrapur,Apartment,3,1259,69,L
Science City,Apartment,2,1476,1.15,Cr
Jodhpur,Apartment,3,2035,88,L
Vastrapur,Villa,4,2700,5,Cr
Thaltej,Apartment,4,2930,2.19,Cr
Thaltej,Apartment,4,3480,2.49,Cr
Thaltej,Apartment,3,1750,80,L
Thaltej,Apartment,3,1500,1.5,Cr
Thaltej,Independent House,4,1980,2.5,Cr
Ambli,Independent House,3,920,1.25,Cr
Ghuma,Independent House,4,4320,1.9,Cr
Bopal,Independent House,4,2340,1.25,Cr
Bopal,Apartment,3,1440,75,L
Bodakdev,Apartment,3,1350,1.1,Cr
Thaltej,Villa,4,3780,4.61,Cr
Science City,Villa,5,4716,6.74,Cr
Thaltej,Villa,4,1620,2.15,Cr
Science City,Villa,4,3393,4.84,Cr
Thaltej,Villa,3,2700,2.9,Cr
Thaltej,Apartment,2,1170,60,L
Bodakdev,Apartment,3,1350,1,Cr
Bopal,Independent House,3,1620,1.4,Cr
Shela,Independent House,4,3150,5.75,Cr
Vastrapur,Apartment,3,2250,1.35,Cr
Thaltej,Independent House,4,2340,4.7,Cr
Science City,Villa,4,3438,5.3,Cr
Science City,Villa,4,3420,3.99,Cr
Science City,Villa,3,3600,2.99,Cr
Thaltej,Villa,4,2673,3.49,Cr
Thaltej,Villa,3,1935,2.54,Cr
Science City,Villa,4,2340,3.99,Cr
Thaltej,Villa,4,3420,3.74,Cr
Thaltej,Villa,3,2565,3.29,Cr
Science City,Villa,4,2970,3.3,Cr
Thaltej,Villa,4,4500,4.89,Cr
Science City,Villa,4,2475,2.49,Cr
Science City,Villa,4,2790,3.1,Cr
Science City,Villa,3,3492,2.49,Cr
Science City,Villa,3,3789,3.44,Cr
Makarba,Apartment,2,1070,55,L
Shilaj,Apartment,2,1200,55,L
Memnagar,Apartment,2,1080,54,L
Jodhpur,Apartment,3,1575,1.1,Cr
Thaltej,Apartment,4,5100,4.36,Cr
Thaltej,Apartment,3,1830,1.41,Cr
Thaltej,Apartment,2,1187,55,L
Navrangpura,Apartment,3,2340,1.49,Cr
Bopal,Apartment,3,2310,99,L
Shela,Apartment,3,1505,50.25,L
Ambli,Apartment,4,3991,3,Cr
Sanand,Apartment,2,1006,25,L
Thaltej,Apartment,3,2043,1.4,Cr
Vastrapur,Apartment,4,5172,4.42,Cr
Memnagar,Apartment,3,1800,1.1,Cr
Memnagar,Apartment,3,1260,75,L
Thaltej,Apartment,4,3330,1.8,Cr
Memnagar,Apartment,4,2061,1.4,Cr
Thaltej,Apartment,4,1980,2.5,Cr
Thaltej,Apartment,3,2205,1.54,Cr
Memnagar,Apartment,3,2493,1.55,Cr
Thaltej,Apartment,3,1500,75,L
Thaltej,Apartment,3,2000,79,L
Bopal,Independent House,3,1800,1.8,Cr
Bopal,Apartment,3,1470,75,L
Bodakdev,Apartment,2,1080,65,L
Sanathal,Independent House,4,2376,1.6,Cr
Sanathal,Independent House,4,2376,1.6,Cr
Sanathal,Independent House,4,2376,1.6,Cr
Bopal,Independent House,3,2430,1.6,Cr
Thaltej,Independent House,4,2700,2.8,Cr
Thaltej,Independent House,4,2700,2.8,Cr
Thaltej,Independent House,3,1800,2.25,Cr
Thaltej,Independent House,4,1980,2.5,Cr
Bopal,Independent House,3,2250,1.77,Cr
Science City,Independent House,3,2322,3,Cr
Bopal,Independent House,4,3150,1.75,Cr
Bopal,Villa,5,5400,3.81,Cr
Thaltej,Apartment,3,1233,80,L
Bodakdev,Apartment,3,2500,1,Cr
Jodhpur,Apartment,3,1611,1.1,Cr
Jodhpur,Apartment,3,1611,1.1,Cr
Bodakdev,Apartment,3,1908,1.1,Cr
Science City,Independent House,4,3177,4.31,Cr
Science City,Independent House,4,3177,4.31,Cr
Jodhpur,Independent House,4,3177,4.31,Cr
Jodhpur,Independent House,4,3177,4.31,Cr
Thaltej,Apartment,3,2548,1.65,Cr
Science City,Villa,3,2430,3,Cr
Bopal,Independent House,3,2250,1.77,Cr
Science City,Independent House,3,2322,3,Cr
Bodakdev,Apartment,4,4400,3.81,Cr
Makarba,Apartment,2,1080,50,L
Navrangpura,Apartment,4,2340,1.55,Cr
Navrangpura,Apartment,3,1650,1,Cr
Thaltej,Independent House,4,2700,2.8,Cr
Thaltej,Independent House,4,2700,2.8,Cr
Thaltej,Independent House,3,1800,2.25,Cr
Thaltej,Independent House,3,1998,2.8,Cr
Bopal,Apartment,3,1755,1.25,Cr
Thaltej,Apartment,3,1728,1.05,Cr
Vastrapur,Apartment,3,1476,85,L
Manipur,Independent House,3,2007,90,L
Bodakdev,Villa,4,2700,4.25,Cr
Bopal,Independent House,3,1800,1.8,Cr
Bopal,Apartment,3,1470,75,L
Bodakdev,Apartment,2,1080,65,L
Shela,Villa,4,3276,2.5,Cr
Science City,Independent House,4,2925,2.51,Cr
Sarkhej,Independent House,4,2700,2,Cr
Bopal,Independent House,3,2250,1.5,Cr
Bopal,Independent House,4,2628,2.11,Cr
Science City,Apartment,3,2260,1.45,Cr
Bodakdev,Apartment,3,4798,2.6,Cr
Thaltej,Independent House,4,1980,2.5,Cr
Maninagar,Apartment,3,1485,67,L
Maninagar,Apartment,2,1170,51,L
Jodhpur Village,Apartment,2,1500,61,L
Bodakdev,Apartment,2,2250,1.4,Cr
Jodhpur Village,Apartment,2,1250,62,L
Thaltej,Apartment,3,1260,70,L
Thaltej,Apartment,3,2250,1.42,Cr
Bodakdev,Apartment,3,1476,95,L
Bodakdev,Apartment,3,2450,1.5,Cr
Bodakdev,Apartment,4,3632,1.9,Cr
Bodakdev,Apartment,3,1395,78,L
Bodakdev,Apartment,3,928,95,L
Bodakdev,Apartment,3,2000,1.25,Cr
Judges Bungalow,Apartment,3,2300,90,L
Bodakdev,Apartment,4,2475,1.7,Cr
Bodakdev,Apartment,4,3900,3.5,Cr
Thaltej,Apartment,3,1745,88.99,L
Thaltej,Apartment,3,1385,70.63,L
Thaltej,Apartment,3,1655,84.4,L
Thaltej,Apartment,3,1700,86.7,L
Near Vaishno Devi Circle On SG Highway,Apartment,4,3650,2.25,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,2280,1.05,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3640,2.29,Cr
Near Nirma University On SG Highway,Apartment,2,1205,50,L
Near Nirma University On SG Highway,Apartment,2,1205,49,L
Near Nirma University On SG Highway,Apartment,3,1775,73,L
Near Nirma University On SG Highway,Apartment,3,1500,72,L
Near Nirma University On SG Highway,Apartment,2,1050,45,L
Near Nirma University On SG Highway,Apartment,4,3220,1.52,Cr
Near Nirma University On SG Highway,Apartment,4,3250,1.47,Cr
Near Nirma University On SG Highway,Apartment,3,1850,82,L
Shela,Apartment,1,646,18.86,L
Shela,Apartment,1,646,18.85,L
Near Nirma University On SG Highway,Apartment,2,1205,42.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,1075,49.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,4,4734,2.41,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,6120,3.77,Cr
Shela,Apartment,3,1481,60.45,L
Near Nirma University On SG Highway,Apartment,4,3640,1.7,Cr
Bopal,Apartment,3,1435,60,L
Bopal,Apartment,2,1315,50,L
Bopal,Apartment,2,1125,42,L
Bopal,Apartment,2,1250,48,L
Bopal,Apartment,2,1197,45,L
Bopal,Apartment,3,1440,55,L
Bopal,Apartment,2,1161,44,L
Bopal,Apartment,3,1485,57,L
Near Nirma University On SG Highway,Apartment,4,3550,1.7,Cr
Bopal,Apartment,3,1590,60,L
Near Nirma University On SG Highway,Apartment,3,1860,95,L
Near Nirma University On SG Highway,Apartment,4,3400,1.9,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,4734,2.11,Cr
Vastrapur,Apartment,3,1885,1.4,Cr
Vastrapur,Apartment,4,2415,1.8,Cr
Thaltej,Apartment,3,1385,81.27,L
Near Nirma University On SG Highway,Apartment,3,1500,74,L
Satlasana,Apartment,3,1638,70,L
Satlasana,Apartment,3,1638,68,L
Vastrapur,Apartment,3,1615,1.2,Cr
Near Nirma University On SG Highway,Apartment,3,2050,95,L
Shela,Apartment,3,1475,59,L
Makarba,Apartment,2,970,38.5,L
Satlasana,Apartment,3,1638,69,L
Makarba,Apartment,2,970,37.75,L
Shela,Apartment,3,1472,58.45,L
Shela,Apartment,3,1478,59.5,L
Shela,Apartment,3,1520,56,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1850,1.1,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1815,78,L
Near Nirma University On SG Highway,Apartment,2,1080,47,L
Near Nirma University On SG Highway,Apartment,3,2280,98,L
Near Nirma University On SG Highway,Apartment,4,4734,2.35,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3640,2.2,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,6295,3.8,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3220,1.94,Cr
Bopal,Apartment,2,1251,47,L
Near Nirma University On SG Highway,Apartment,3,1500,74,L
Near Nirma University On SG Highway,Apartment,2,1050,47,L
Near Nirma University On SG Highway,Apartment,4,3650,1.75,Cr
Near Nirma University On SG Highway,Apartment,2,1205,45,L
Near Nirma University On SG Highway,Apartment,2,1205,46,L
Near Nirma University On SG Highway,Apartment,2,1205,42,L
Near Nirma University On SG Highway,Apartment,2,1205,43,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1360,61,L
Near Vaishno Devi Circle On SG Highway,Apartment,5,6295,3.81,Cr
Near Nirma University On SG Highway,Apartment,2,1205,44,L
Near Vaishno Devi Circle On SG Highway,Apartment,5,6440,4.03,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,6295,3.21,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,2,1060,48,L
Near Vaishno Devi Circle On SG Highway,Apartment,5,6120,2.99,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3550,2.38,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3780,2.13,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3650,2.22,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3220,1.42,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1427,65,L
Near Vaishno Devi Circle On SG Highway,Apartment,4,3250,2.03,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3220,1.99,Cr
Vastrapur,Apartment,3,1585,1.13,Cr
Vastrapur,Apartment,3,2230,1.61,Cr
Thaltej,Apartment,3,1655,1.02,Cr
Thaltej,Apartment,3,1745,1.15,Cr
Vastrapur,Apartment,4,3230,2.32,Cr
Thaltej,Apartment,3,1700,1.07,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,4734,2.35,Cr
Near Nirma University On SG Highway,Apartment,2,1050,45,L
Near Nirma University On SG Highway,Apartment,3,1815,76,L
Near Vaishno Devi Circle On SG Highway,Apartment,5,6440,3.94,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,6120,3.67,Cr
Near Nirma University On SG Highway,Apartment,2,1205,47,L
Near Vaishno Devi Circle On SG Highway,Apartment,4,4734,2.25,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3550,2.21,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3780,2.35,Cr
Near Nirma University On SG Highway,Apartment,2,1205,48,L
Bopal,Apartment,4,2994,1.18,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,6440,3.99,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1775,71,L
Near Vaishno Devi Circle On SG Highway,Apartment,4,3250,2.05,Cr
Bopal,Apartment,3,1485,55,L
Bopal,Apartment,3,1880,65.98,L
Near Nirma University On SG Highway,Apartment,4,3400,2.1,Cr
Bopal,Apartment,2,1285,44.98,L
Near Nirma University On SG Highway,Apartment,3,1860,97,L
Near Nirma University On SG Highway,Apartment,4,3780,1.62,Cr
Near Nirma University On SG Highway,Apartment,2,1200,50,L
Near Nirma University On SG Highway,Apartment,2,1200,51,L
Shela,Apartment,3,2013,72.47,L
Bopal,Apartment,3,1903,96,L
Shela,Apartment,4,2585,1.15,Cr
Shela,Apartment,3,2013,71.5,L
Shela,Apartment,5,4508,2.16,Cr
Shela,Apartment,5,4508,2.02,Cr
Bopal,Apartment,3,1903,1.02,Cr
Bopal,Apartment,3,1725,85,L
Shela,Apartment,4,3538,1.7,Cr
Shela,Apartment,4,3538,1.7,Cr
Vastrapur,Villa,5,4725,5.81,Cr
Thaltej,Apartment,3,2405,1.7,Cr
Ambli,Apartment,3,3096,2.11,Cr
Thaltej,Apartment,4,2900,2,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3375,1.2,Cr
Thaltej,Apartment,3,1845,1.02,Cr
Shilaj,Apartment,3,1550,66,L
Ambli,Apartment,3,3096,2.11,Cr
Thaltej,Apartment,4,2900,2,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,4,3375,1.2,Cr
Thaltej,Apartment,3,1845,1.02,Cr
Shilaj,Apartment,3,1550,66,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,2258,1.08,Cr
Near Nirma University On SG Highway,Apartment,3,1800,75,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1850,76,L
Ambli,Apartment,3,3096,2.11,Cr
Satellite,Apartment,3,2000,1.13,Cr
Bodakdev,Apartment,4,3240,2.3,Cr
Bodakdev,Apartment,4,3240,2.3,Cr
Prahlad Nagar,Apartment,3,2000,1.2,Cr
Bodakdev,Apartment,4,3000,2.6,Cr
Bodakdev,Apartment,4,2925,2.61,Cr
Bopal,Apartment,4,2965,1.4,Cr
Jodhpur Village,Apartment,2,1225,64,L
Jodhpur,Apartment,3,1692,93,L
Prahlad Nagar,Apartment,2,1560,65,L
Jodhpur Village,Apartment,2,1125,62,L
Jodhpur Village,Apartment,2,1125,62,L
Thaltej,Apartment,3,2118,1.49,Cr
Prahlad Nagar,Apartment,3,2163,1.51,Cr
Shela,Villa,4,3942,2.6,Cr
Gota,Apartment,2,1250,54.99,L
Nikol,Apartment,2,1188,31,L
Bhat,Apartment,3,1650,69,L
Nava Naroda,Apartment,2,1485,37,L
Nikol,Villa,5,4500,3.25,Cr
Nava Naroda,Apartment,3,1413,38.51,L
Nava Naroda,Independent House,3,1000,70,L
Nikol,Villa,4,2000,2.25,Cr
Nikol,Villa,3,2700,1.15,Cr
Nikol,Villa,3,1920,1.25,Cr
Nikol,Independent House,3,1800,1.25,Cr
Nava Naroda,Apartment,3,2340,60,L
Nava Naroda,Villa,4,1700,1.1,Cr
Nikol,Apartment,2,1125,30.51,L
Bopal,Apartment,3,1475,71,L
Bodakdev,Apartment,4,5601,5.32,Cr
Gota,Apartment,2,1210,53,L
Bopal,Apartment,3,1550,51.15,L
Khodiyar,Apartment,4,3091,1.15,Cr
Zundal,Apartment,2,1225,54,L
Vastrapur,Apartment,4,5175,3.88,Cr
Thaltej,Apartment,3,2540,1.65,Cr
Gota,Apartment,2,633,47,L
Thaltej,Apartment,3,1830,1.4,Cr
Thaltej,Apartment,4,4350,3.48,Cr
Bopal,Apartment,4,3125,1.31,Cr
Gurukul,Apartment,3,1800,75,L
Ambavadi,Apartment,3,2045,1.3,Cr
Bopal,Apartment,3,2250,95,L
Bopal,Villa,4,3132,2.05,Cr
Navrangpura,Apartment,4,3810,2.7,Cr
Jagatpur,Apartment,2,1110,36,L
Motera,Apartment,3,2025,99,L
Shela,Apartment,2,1085,31.98,L
Ambli,Apartment,3,2420,1.25,Cr
Zundal,Apartment,2,1278,38.99,L
Jagatpur,Apartment,1,950,19.99,L
Ambli,Apartment,4,4827,3.37,Cr
Ambli,Apartment,4,4827,3.37,Cr
Jodhpur,Apartment,4,3885,2.71,Cr
Jodhpur,Apartment,3,2320,1.62,Cr
Ambli,Apartment,3,2420,1.25,Cr
Thaltej,Apartment,4,3480,2.47,Cr
Thaltej,Apartment,4,2920,2.07,Cr
Thaltej,Apartment,3,2442,1.73,Cr
Chandkheda,Apartment,4,2999,1.19,Cr
Chandkheda,Apartment,3,2133,81.99,L
Koteshwar,Apartment,3,2385,87.45,L
Shilaj,Apartment,3,1979,1.25,Cr
Chandkheda,Apartment,3,2070,82.8,L
Shela,Apartment,3,2041,73.47,L
Shela,Apartment,3,1484,44.52,L
