area,type,BHK,sqft,price,unit
Bopal,Apartment,5,4500,1.26,Cr
Bopal,Apartment,2,1235,50,L
Shela,Apartment,1,624,28,L
Bopal,Villa,2,1080,75,L
Bopal,Villa,2,1200,95,L
Bopal,Apartment,2,1170,58,L
Shela,Apartment,2,999,39,L
Shela,Apartment,2,1285,42,L
Vastrapur,Apartment,3,1665,1.02,Cr
Jodhpur,Apartment,2,1400,65,L
Jodhpur,Apartment,2,1400,65,L
Old Wadaj,Independent House,1,270,22,L
Shela,Apartment,2,1085,39.5,L
Shela,Apartment,3,1435,57,L
Vastrapur,Apartment,3,2230,1.21,Cr
Vastrapur,Apartment,4,3230,1.74,Cr
Bopal,Apartment,2,1154,54,L
Bopal,Apartment,2,1250,50,L
Bopal,Apartment,3,1450,55,L
Bodakdev,Apartment,2,1000,62,L
Bopal,Apartment,3,1440,43.2,L
Shela,Apartment,3,1700,48.19,L
Shela,Villa,4,4050,3,Cr
Sanathal,Villa,4,3600,1.7,Cr
Ambavadi,Apartment,4,2943,1.82,Cr
Vastrapur,Apartment,4,4400,3.05,Cr
Ambavadi,Apartment,3,2295,1.42,Cr
Thaltej,Apartment,3,1385,70.63,L
Thaltej,Apartment,3,1655,84.4,L
Thaltej,Apartment,3,1700,86.7,L
Makarba,Apartment,3,1485,65,L
Thaltej,Apartment,3,1785,1.25,Cr
Thaltej,Apartment,3,2250,1.42,Cr
Bopal,Apartment,2,1300,60,L
Bopal,Apartment,3,2214,1.25,Cr
Bopal,Apartment,3,1430,69,L
Jodhpur Village,Apartment,3,2610,1.9,Cr
Jodhpur,Apartment,3,1845,1.35,Cr
Thaltej,Villa,3,2430,2.85,Cr
Bopal,Apartment,3,2214,1.25,Cr
Shela,Apartment,4,3538,1.6,Cr
Bopal,Apartment,3,1490,75,L
Bopal,Villa,4,3492,3.55,Cr
Gota,Apartment,3,1530,78,L
Gota,Apartment,3,1710,95,L
Thaltej,Villa,3,2790,2.95,Cr
Bopal,Apartment,3,1860,1.03,Cr
Satellite,Apartment,3,2133,1.7,Cr
Makarba,Apartment,2,1225,52,L
Prahlad Nagar,Apartment,2,1320,75,L
Ambli,Villa,4,2205,3.5,Cr
Bopal,Apartment,3,1413,67,L
Palodia,Villa,10,14000,8.75,Cr
Near Nirma University On SG Highway,Apartment,3,2000,1.1,Cr
Jodhpur,Apartment,3,1575,1.17,Cr
Sola,Apartment,2,1458,77.75,L
Sola,Apartment,2,1314,70.07,L
Sola,Apartment,2,1458,77.75,L
Sola,Apartment,3,1890,1,Cr
Sola,Apartment,3,1890,1,Cr
Sola,Apartment,3,1953,1.04,Cr
Odhav,Apartment,2,710,30,L
Odhav,Apartment,2,710,30,L
Odhav,Apartment,2,710,30,L
Vastrapur,Apartment,2,2000,43,L
Vastrapur,Apartment,2,2000,42,L
Vastrapur,Apartment,3,2500,1.21,Cr
Ambavadi,Apartment,4,3150,2.14,Cr
Vastrapur,Apartment,2,2000,45,L
Vastrapur,Apartment,3,3000,65,L
Bodakdev,Apartment,2,3000,55,L
Jodhpur,Apartment,2,2500,55,L
Vastrapur,Apartment,1,1000,29,L
Vastrapur,Apartment,2,2000,45,L
Bodakdev,Apartment,3,2000,1,Cr
Changodar,Villa,3,1179,34.13,L
Changodar,Villa,3,1080,30.38,L
Changodar,Villa,2,1305,32.18,L
Changodar,Villa,2,1206,31.25,L
Changodar,Villa,2,840,23.66,L
Changodar,Villa,3,1656,44.01,L
Shahpur,Independent House,4,1000,1.2,Cr
